customer_id,customer_name,email,registration_date,customer_type
CUST0001,Sharon Smith,ralexander@example.org,2024-01-25,VIP
CUST0002,Bradley Wu,dmay@example.net,2024-04-09,REGULAR
CUST0003,Luis Anderson,vdowns@example.org,2025-07-20,REGULAR
CUST0004,Angela Robertson,lanelaura@example.com,2024-02-22,PREMIUM
CUST0005,Heather Harper,richardsonrandy@example.net,2025-08-07,PREMIUM
CUST0006,Adam Harris,shill@example.com,2025-09-29,PREMIUM
CUST0007,Bruce Anderson,epeterson@example.net,2024-02-26,PREMIUM
CUST0008,Dan Arnold,eric24@example.org,2025-01-03,VIP
CUST0009,Sandra Sampson PhD,carmenmurray@example.net,2025-08-19,REGULAR
CUST0010,Samantha Lee,glassjohn@example.org,2026-06-03,VIP
CUST0011,Jessica Nichols,james30@example.net,2023-12-15,PREMIUM
CUST0012,Adam Byrd,jramirez@example.org,2025-04-08,REGULAR
CUST0013,Teresa Patterson,sjenkins@example.org,2025-05-22,PREMIUM
CUST0014,Kimberly Rice,renee45@example.net,2023-11-03,REGULAR
CUST0015,Luis Rosales,rgordon@example.com,2024-06-11,VIP
CUST0016,Heather Hubbard,ilopez@example.org,2025-10-11,VIP
CUST0017,Becky Martinez,gaillopez@example.com,2026-04-11,VIP
CUST0018,David Mcbride,mendezcarol@example.net,2025-12-27,PREMIUM
CUST0019,Justin Holloway,washingtonjeffery@example.com,2024-03-16,VIP
CUST0020,Victoria Richard,reynoldsstephen@example.org,2024-02-18,PREMIUM
CUST0021,Roy Dorsey,careycarmen@example.com,2024-06-05,VIP
CUST0022,Cheryl Matthews,udavila@example.org,2025-10-13,PREMIUM
CUST0023,Nichole Golden,woodsmary@example.net,2024-11-21,REGULAR
CUST0024,Tiffany Cole,courtney23@example.com,2025-06-10,REGULAR
CUST0025,Victoria Wilson,cynthiasmith@example.net,2024-08-23,VIP
CUST0026,Patrick Cox,gary29@example.com,2026-04-23,REGULAR
CUST0027,Janet Austin,jsummers@example.org,2026-01-25,REGULAR
CUST0028,Mason James,daniel03@example.org,2024-09-21,VIP
CUST0029,Donna Perry,aparks@example.org,2025-10-13,VIP
CUST0030,Tanner Tran,denisenichols@example.com,2024-01-06,PREMIUM
CUST0031,Kayla Pace,probinson@example.net,2024-08-15,PREMIUM
CUST0032,Juan Reeves,anthonycynthia@example.org,2023-09-29,PREMIUM
CUST0033,Troy Cole,maurice22@example.com,2026-07-16,REGULAR
CUST0034,Andrea Green,robinwelch@example.org,2024-12-22,VIP
CUST0035,Steven Lopez,lnunez@example.net,2026-01-15,REGULAR
CUST0036,Thomas Thompson,hannah57@example.org,2024-11-28,REGULAR
CUST0037,Paul Prince,odominguez@example.net,2025-12-24,VIP
CUST0038,Haley Garcia,popestephen@example.net,2023-08-21,REGULAR
